csf_subcategory_id,csf_subcategory_name,response,score,weight,recommendation,assessment_score,gap_score
RS.RP-01,Response plan is executed,No,0.0,nan,nan,nan,nan
RS.MI-01,Incidents are mitigated,No,0.0,1.5,Contain threats immediately using playbooks and escalation procedures.,0.00,1.50
RS.IM-01,Response plans are improved following lessons learned,No,0.0,nan,nan,nan,nan
RS.CO-03,Legal and regulatory requirements are managed,No,0.0,1.2,Establish clear communication channels to promptly share incident details with internal teams and external partners,0.00,1.20
RS.CO-02,Public relations are managed,No,0.0,1.0,Prepare public statements and designate a PR spokesperson.,0.00,1.00
RC.RP-01,Recovery plan is executed,No,0.0,1.5,Test backups and rehearse system restoration procedures.,0.00,1.50
RC.IM-02,Recovery plans incorporate lessons learned,No,0.0,nan,nan,nan,nan
RC.IM-01,Recovery strategies are improved following exercises,No,0.0,nan,nan,nan,nan
RC.GV-01,Recovery policies and procedures are established,No,0.0,nan,nan,nan,nan
RC.CO-01,Communications are coordinated during recovery,No,0.0,nan,nan,nan,nan
ID.AM-05,Resources are prioritized and protected,Yes,1.0,1.5,Classify assets by criticality and apply appropriate protection levels.,1.50,0.00
GV.SC-01,Supply chain agreements are managed,Yes,1.0,1.0,Ensure contracts with suppliers include security and risk requirements.,1.00,0.00
GV.RR-01,"Governance roles, policies, and processes are established",No,0.0,1.2,"Document and communicate security roles, responsibilities, and authorities.",0.00,1.20
GV.P0-01,Organizational cybersecurity policy is established and communicated,Partial,0.5,1.5,Define and document security responsibilities and enforcement processes.,0.75,0.75
